"state","numTeams","NFLTeams"
"Alabama",0,
"Alaska",0,
"Arizona",1,"Arizona Cardinals"
"Arkansas",0,
"California",3,"Los Angeles Rams, Los Angeles Chargers, San Francisco 49ers"
"Colorado",1,"Denver Broncos"
"Connecticut",0,
"Delaware",0,
"District of Columbia",,
"Florida",3,"Jacksonville Jaguars, Miami Dolphins, Tampa Bay Buccaneers"
"Georgia",1,"Atlanta Falcons"
"Hawaii",0,
"Idaho",0,
"Illinois",1,"Chicago Bears"
"Indiana",1,"Indianapolis Colts"
"Iowa",0,
"Kansas",0,
"Kentucky",0,
"Louisiana",1,"New Orleans Saints"
"Maine",0,
"Maryland",2,"Baltimore Ravens, Washington Commanders"
"Massachusetts",1,"New England Patriots"
"Michigan",1,"Detroit Lions"
"Minnesota",1,"Minnesota Vikings"
"Mississippi",0,
"Missouri",1,"Kansas City Chiefs"
"Montana",0,
"Nebraska",0,
"Nevada",1,"Las Vegas Raiders"
"New Hampshire",0,
"New Jersey",2,"New York Giants, New York Jets"
"New Mexico",0,
"New York",1,"Buffalo Bills"
"North Carolina",1,"Carolina Panthers"
"North Dakota",0,
"Ohio",2,"Cincinnati Bengals, Cleveland Browns"
"Oklahoma",0,
"Oregon",0,
"Pennsylvania",2,"Philadelphia Eagles, Pittsburgh Steelers"
"Rhode Island",0,
"South Carolina",0,
"South Dakota",0,
"Tennessee",1,"Tennessee Titans"
"Texas",2,"Dallas Cowboys, Houston Texans"
"Utah",0,
"Vermont",0,
"Virginia",0,
"Washington",1,"Seattle Seahawks"
"West Virginia",0,
"Wisconsin",1,"Green Bay Packers"
"Wyoming",0,
"United States",32,